Step 155 timings: Total: 1.1702ms, Carnivores: 0.0936ms, Herbivores: 0.9252ms, Plants: 0.1237ms | Threads: 2
Step 156 timings: Total: 0.9021ms, Carnivores: 0.0842ms, Herbivores: 0.6659ms, Plants: 0.1262ms | Threads: 2
Step 157 timings: Total: 0.9674ms, Carnivores: 0.1013ms, Herbivores: 0.7294ms, Plants: 0.1101ms | Threads: 2
Step 158 timings: Total: 1.0159ms, Carnivores: 0.1235ms, Herbivores: 0.7429ms, Plants: 0.1238ms | Threads: 2
Step 159 timings: Total: 1.1079ms, Carnivores: 0.0781ms, Herbivores: 0.8620ms, Plants: 0.1423ms | Threads: 2
Step 160 timings: Total: 1.1244ms, Carnivores: 0.1018ms, Herbivores: 0.8680ms, Plants: 0.1265ms | Threads: 2
Step 161 timings: Total: 1.1691ms, Carnivores: 0.1039ms, Herbivores: 0.8771ms, Plants: 0.1624ms | Threads: 2
Step 162 timings: Total: 0.8960ms, Carnivores: 0.0625ms, Herbivores: 0.6769ms, Plants: 0.1305ms | Threads: 2
Step 163 timings: Total: 0.9981ms, Carnivores: 0.2396ms, Herbivores: 0.6132ms, Plants: 0.1199ms | Threads: 2
Step 164 timings: Total: 1.0218ms, Carnivores: 0.0634ms, Herbivores: 0.7784ms, Plants: 0.1540ms | Threads: 2
Step 165 timings: Total: 1.1495ms, Carnivores: 0.0815ms, Herbivores: 0.8593ms, Plants: 0.1819ms | Threads: 2
Step 166 timings: Total: 1.1370ms, Carnivores: 0.0835ms, Herbivores: 0.8777ms, Plants: 0.1472ms | Threads: 2
Step 167 timings: Total: 0.9111ms, Carnivores: 0.0723ms, Herbivores: 0.5780ms, Plants: 0.2350ms | Threads: 2
Step 168 timings: Total: 0.7789ms, Carnivores: 0.0868ms, Herbivores: 0.5382ms, Plants: 0.1283ms | Threads: 2
Step 169 timings: Total: 1.1626ms, Carnivores: 0.0944ms, Herbivores: 0.8759ms, Plants: 0.1648ms | Threads: 2
Step 170 timings: Total: 0.9909ms, Carnivores: 0.1131ms, Herbivores: 0.6814ms, Plants: 0.1687ms | Threads: 2
Step 171 timings: Total: 0.8358ms, Carnivores: 0.0866ms, Herbivores: 0.5878ms, Plants: 0.1358ms | Threads: 2
Step 172 timings: Total: 1.1445ms, Carnivores: 0.0902ms, Herbivores: 0.8442ms, Plants: 0.1829ms | Threads: 2
Step 173 timings: Total: 1.0006ms, Carnivores: 0.0980ms, Herbivores: 0.6800ms, Plants: 0.1947ms | Threads: 2
Step 174 timings: Total: 1.0441ms, Carnivores: 0.0999ms, Herbivores: 0.7410ms, Plants: 0.1760ms | Threads: 2
Step 175 timings: Total: 0.8497ms, Carnivores: 0.0840ms, Herbivores: 0.5817ms, Plants: 0.1589ms | Threads: 2
Step 176 timings: Total: 0.9128ms, Carnivores: 0.0973ms, Herbivores: 0.5822ms, Plants: 0.2054ms | Threads: 2
Step 177 timings: Total: 0.8139ms, Carnivores: 0.0820ms, Herbivores: 0.5687ms, Plants: 0.1373ms | Threads: 2
Step 178 timings: Total: 9.8957ms, Carnivores: 0.0926ms, Herbivores: 2.4500ms, Plants: 7.3273ms | Threads: 2
Step 179 timings: Total: 0.9321ms, Carnivores: 0.1122ms, Herbivores: 0.6697ms, Plants: 0.1231ms | Threads: 2
Step 180 timings: Total: 0.7290ms, Carnivores: 0.1195ms, Herbivores: 0.4507ms, Plants: 0.1317ms | Threads: 2
Step 181 timings: Total: 1.1603ms, Carnivores: 0.1295ms, Herbivores: 0.8150ms, Plants: 0.1877ms | Threads: 2
Step 182 timings: Total: 0.8065ms, Carnivores: 0.1331ms, Herbivores: 0.4856ms, Plants: 0.1606ms | Threads: 2
Step 183 timings: Total: 0.8809ms, Carnivores: 0.1458ms, Herbivores: 0.5806ms, Plants: 0.1293ms | Threads: 2
Step 184 timings: Total: 0.6560ms, Carnivores: 0.0984ms, Herbivores: 0.4132ms, Plants: 0.1184ms | Threads: 2
Step 185 timings: Total: 0.9266ms, Carnivores: 0.0939ms, Herbivores: 0.6831ms, Plants: 0.1239ms | Threads: 2
Step 186 timings: Total: 0.7884ms, Carnivores: 0.1052ms, Herbivores: 0.4183ms, Plants: 0.2393ms | Threads: 2
Step 187 timings: Total: 0.7614ms, Carnivores: 0.1045ms, Herbivores: 0.4760ms, Plants: 0.1555ms | Threads: 2
Step 188 timings: Total: 0.7962ms, Carnivores: 0.1490ms, Herbivores: 0.5039ms, Plants: 0.1095ms | Threads: 2
Step 189 timings: Total: 0.7863ms, Carnivores: 0.1216ms, Herbivores: 0.4677ms, Plants: 0.1715ms | Threads: 2
Step 190 timings: Total: 0.7099ms, Carnivores: 0.1413ms, Herbivores: 0.3947ms, Plants: 0.1465ms | Threads: 2
Step 191 timings: Total: 0.6260ms, Carnivores: 0.1428ms, Herbivores: 0.3230ms, Plants: 0.1338ms | Threads: 2
Step 192 timings: Total: 0.6974ms, Carnivores: 0.1385ms, Herbivores: 0.4107ms, Plants: 0.1207ms | Threads: 2
Step 193 timings: Total: 0.5830ms, Carnivores: 0.1492ms, Herbivores: 0.2504ms, Plants: 0.1565ms | Threads: 2
Step 194 timings: Total: 0.6154ms, Carnivores: 0.1490ms, Herbivores: 0.2818ms, Plants: 0.1497ms | Threads: 2
Step 195 timings: Total: 0.4227ms, Carnivores: 0.1095ms, Herbivores: 0.1619ms, Plants: 0.1261ms | Threads: 2
Step 196 timings: Total: 0.5256ms, Carnivores: 0.1259ms, Herbivores: 0.2046ms, Plants: 0.1676ms | Threads: 2
Step 197 timings: Total: 0.5026ms, Carnivores: 0.1305ms, Herbivores: 0.1934ms, Plants: 0.1516ms | Threads: 2
Step 198 timings: Total: 0.5851ms, Carnivores: 0.1157ms, Herbivores: 0.3136ms, Plants: 0.1308ms | Threads: 2
Step 199 timings: Total: 0.4800ms, Carnivores: 0.1371ms, Herbivores: 0.1653ms, Plants: 0.1496ms | Threads: 2
Step 200 timings: Total: 0.4665ms, Carnivores: 0.1127ms, Herbivores: 0.1156ms, Plants: 0.2132ms | Threads: 2
Step 201 timings: Total: 0.5681ms, Carnivores: 0.1399ms, Herbivores: 0.1803ms, Plants: 0.2205ms | Threads: 2
Step 202 timings: Total: 7.2799ms, Carnivores: 6.9932ms, Herbivores: 0.1387ms, Plants: 0.1196ms | Threads: 2
Step 203 timings: Total: 1.3357ms, Carnivores: 1.0146ms, Herbivores: 0.1522ms, Plants: 0.1414ms | Threads: 2
Step 204 timings: Total: 0.4179ms, Carnivores: 0.1253ms, Herbivores: 0.1382ms, Plants: 0.1275ms | Threads: 2
Step 205 timings: Total: 0.5382ms, Carnivores: 0.1282ms, Herbivores: 0.2109ms, Plants: 0.1718ms | Threads: 2
Step 206 timings: Total: 0.4658ms, Carnivores: 0.1129ms, Herbivores: 0.1673ms, Plants: 0.1581ms | Threads: 2
Step 207 timings: Total: 0.4758ms, Carnivores: 0.1124ms, Herbivores: 0.1905ms, Plants: 0.1462ms | Threads: 2
Step 208 timings: Total: 0.3896ms, Carnivores: 0.1021ms, Herbivores: 0.1286ms, Plants: 0.1320ms | Threads: 2
Step 209 timings: Total: 0.3837ms, Carnivores: 0.0843ms, Herbivores: 0.1680ms, Plants: 0.1062ms | Threads: 2
Step 210 timings: Total: 0.3357ms, Carnivores: 0.0928ms, Herbivores: 0.0924ms, Plants: 0.1228ms | Threads: 2
Step 211 timings: Total: 0.3874ms, Carnivores: 0.0909ms, Herbivores: 0.1059ms, Plants: 0.1597ms | Threads: 2
